-c a33 -d AC -r DA_CTL -p SDO_EN = 0, (default=0)
-c a33 -d AC -r DA_FCTL -p RXTL = 0, (default=15)
-c a33 -d AC -r DA_FCTL -p TXIM = 0, (default=0)
-c a33 -d AC -r DA_FCTL -p RXOM = 0, (default=0)
-c a33 -d AC -r DA_FSTA -p TXE = 0, (default=1)
-c a33 -d AC -r DA_FSTA -p TXE_CNT = 0, (default=128)
-c a33 -d AC -r DA_FSTA -p RXA = 0, (default=0)
-c a33 -d AC -r DA_FSTA -p RXA_CNT = 0, (default=0)
-c a33 -d AC -r DA_INT -p TX_DRQ = 0, (default=0)
-c a33 -d AC -r DA_INT -p TXUI_EN = 0, (default=0)
-c a33 -d AC -r DA_INT -p TXOI_EN = 0, (default=0)
-c a33 -d AC -r DA_INT -p TXEI_EN = 0, (default=0)
-c a33 -d AC -r DA_INT -p RX_DRQ = 0, (default=0)
-c a33 -d AC -r DA_INT -p RXUI_EN = 0, (default=0)
-c a33 -d AC -r DA_INT -p RXOI_EN = 0, (default=0)
-c a33 -d AC -r DA_INT -p RXAI_EN = 0, (default=0)
-c a33 -d AC -r DA_ISTA -p TXU_INT = 0, (default=0)
-c a33 -d AC -r DA_ISTA -p TXO_INT = 0, (default=0)
-c a33 -d AC -r DA_ISTA -p TXE_INT = 0, (default=1)
-c a33 -d AC -r DA_ISTA -p RXU_INT = 0, (default=0)
-c a33 -d AC -r DA_ISTA -p RXO_INT = 0, (default=0)
-c a33 -d AC -r DA_ISTA -p RXA_INT = 0, (default=0)
-c a33 -d AC -r DA_CLKD -p MCLKO_EN = 0, (default=0)
-c a33 -d AC -r DA_CLKD -p BCLKDIV = 0, (default=0)
-c a33 -d AC -r DA_CLKD -p MCLKDIV = 0, (default=0)
-c a33 -d AC -r DA_TXCNT -p TX_CNT = 0, (default=0)
-c a33 -d AC -r DA_RXCNT -p RX_CNT = 0, (default=0)
-c a33 -d AC -r DA_TXCHSEL -p TX_CHSEL = 0, (default=1)
-c a33 -d AC -r DA_TXCHMAP -p TX_CH3_MAP = 0, (default=3)
-c a33 -d AC -r DA_TXCHMAP -p TX_CH2_MAP = 0, (default=2)
-c a33 -d AC -r DA_TXCHMAP -p TX_CH1_MAP = 0, (default=1)
-c a33 -d AC -r DA_TXCHMAP -p TX_CH0_MAP = 0, (default=0)
-c a33 -d AC -r DA_RXCHSEL -p RX_CHSEL = 0, (default=1)
-c a33 -d AC -r DA_RXCHMAP -p RX_CH3_MAP = 0, (default=3)
-c a33 -d AC -r DA_RXCHMAP -p RX_CH2_MAP = 0, (default=2)
-c a33 -d AC -r DA_RXCHMAP -p RX_CH1_MAP = 0, (default=1)
-c a33 -d AC -r DA_RXCHMAP -p RX_CH0_MAP = 0, (default=0)
-c a33 -d AC -r CHIP_AUDIO_RST -p Reserved = 0
-c a33 -d AC -r SYSCLK_CTL -p AIF1CLK_ENA = 0, (default=0)
-c a33 -d AC -r SYSCLK_CTL -p Reserved = 0, (default=0)
-c a33 -d AC -r SYSCLK_CTL -p AIF1CLK_SRC = 0, (default=0)
-c a33 -d AC -r SYSCLK_CTL -p AIF2CLK_ENA = 0, (default=0)
-c a33 -d AC -r SYSCLK_CTL -p Reserved = 0, (default=0)
-c a33 -d AC -r SYSCLK_CTL -p AIF2CLK_SRC = 0, (default=0)
-c a33 -d AC -r SYSCLK_CTL -p SYSCLK_ENA = 0, (default=0)
-c a33 -d AC -r SYSCLK_CTL -p Reserved = 0, (default=0)
-c a33 -d AC -r SYSCLK_CTL -p SYSCLK_SRC = 0, (default=0)
-c a33 -d AC -r MOD_CLK_ENA -p Reserved = 0, (default=0)
-c a33 -d AC -r MOD_CLK_ENA -p Moduleclockenablecontrol = 0, (default=0)
-c a33 -d AC -r MOD_RST_CTL -p Reserved = 0, (default=0)
-c a33 -d AC -r MOD_RST_CTL -p Moduleresetcontrol = 0, (default=0)
-c a33 -d AC -r SYS_SR_CTRL -p AIF1_FS = 0, (default=0)
-c a33 -d AC -r SYS_SR_CTRL -p AIF2_FS = 0, (default=0)
-c a33 -d AC -r SYS_SR_CTRL -p SRC1_ENA = 0, (default=0)
-c a33 -d AC -r SYS_SR_CTRL -p SRC1_SRC = 0, (default=0)
-c a33 -d AC -r SYS_SR_CTRL -p SRC2_ENA = 0, (default=0)
-c a33 -d AC -r SYS_SR_CTRL -p SRC2_SRC = 0, (default=0)
-c a33 -d AC -r SYS_SRC_CLK -p SRC_CLK_SLT = 0, (default=0)
-c a33 -d AC -r AIF1CLK_CTRL -p AIF1_MSTR_MOD = 0, (default=0)
-c a33 -d AC -r AIF1CLK_CTRL -p AIF1_BCLK_INV = 0, (default=0)
-c a33 -d AC -r AIF1CLK_CTRL -p AIF1_LRCK_INV = 0, (default=0)
-c a33 -d AC -r AIF1CLK_CTRL -p AIF1_BCLK_DIV = 0, (default=0)
-c a33 -d AC -r AIF1CLK_CTRL -p AIF1_LRCK_DIV = 0, (default=0)
-c a33 -d AC -r AIF1CLK_CTRL -p AIF1_WORD_SIZ = 0, (default=0)
-c a33 -d AC -r AIF1CLK_CTRL -p AIF1_DATA_FMT = 0, (default=0)
-c a33 -d AC -r AIF1CLK_CTRL -p DSP_MONO_PCM = 0, (default=0)
-c a33 -d AC -r AIF1CLK_CTRL -p AIF1_TDMM_ENA = 0, (default=0)
-c a33 -d AC -r AIF1_ADCDAT_CTRL -p AIF1_AD0L_ENA = 0, (default=0)
-c a33 -d AC -r AIF1_ADCDAT_CTRL -p AIF1_AD0R_ENA = 0, (default=0)
-c a33 -d AC -r AIF1_ADCDAT_CTRL -p AIF1_AD1L_ENA = 0, (default=0)
-c a33 -d AC -r AIF1_ADCDAT_CTRL -p AIF1_AD1R_ENA = 0, (default=0)
-c a33 -d AC -r AIF1_ADCDAT_CTRL -p AIF1_AD0L_SRC = 0, (default=0)
-c a33 -d AC -r AIF1_ADCDAT_CTRL -p AIF1_AD0R_SRC = 0, (default=0)
-c a33 -d AC -r AIF1_ADCDAT_CTRL -p AIF1_AD1L_SRC = 0, (default=0)
-c a33 -d AC -r AIF1_ADCDAT_CTRL -p AIF1_AD1R_SRC = 0, (default=0)
-c a33 -d AC -r AIF1_ADCDAT_CTRL -p AIF1_ADCP_ENA = 0, (default=0)
-c a33 -d AC -r AIF1_ADCDAT_CTRL -p AIF1_ADUL_ENA = 0, (default=0)
-c a33 -d AC -r AIF1_ADCDAT_CTRL -p AIF1_SLOT_SIZ = 0, (default=0)
-c a33 -d AC -r AIF1_DACDAT_CTRL -p AIF1_DA0L_ENA = 0, (default=0)
-c a33 -d AC -r AIF1_DACDAT_CTRL -p AIF1_DA0R_ENA = 0, (default=0)
-c a33 -d AC -r AIF1_DACDAT_CTRL -p AIF1_DA1L_ENA = 0, (default=0)
-c a33 -d AC -r AIF1_DACDAT_CTRL -p AIF1_DA1R_ENA = 0, (default=0)
-c a33 -d AC -r AIF1_DACDAT_CTRL -p AIF1_DA0L_SRC = 0, (default=0)
-c a33 -d AC -r AIF1_DACDAT_CTRL -p AIF1_DA0R_SRC = 0, (default=0)
-c a33 -d AC -r AIF1_DACDAT_CTRL -p AIF1_DA1L_SRC = 0, (default=0)
-c a33 -d AC -r AIF1_DACDAT_CTRL -p AIF1_DA1R_SRC = 0, (default=0)
-c a33 -d AC -r AIF1_DACDAT_CTRL -p AIF1_DACP_ENA = 0, (default=0)
-c a33 -d AC -r AIF1_DACDAT_CTRL -p AIF1_DAUL_ENA = 0, (default=0)
-c a33 -d AC -r AIF1_DACDAT_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF1_DACDAT_CTRL -p AIF1_LOOP_ENA = 0, (default=0)
-c a33 -d AC -r AIF1_MXR_SRC -p AIF1_AD0L_MXL_SRC = 0, (default=0)
-c a33 -d AC -r AIF1_MXR_SRC -p AIF1_AD0R_MXR_SRC = 0, (default=0)
-c a33 -d AC -r AIF1_MXR_SRC -p AIF1_AD1L_MXR_SRC = 0, (default=0)
-c a33 -d AC -r AIF1_MXR_SRC -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF1_MXR_SRC -p AIF1_AD1R_MXR_SRC = 0, (default=0)
-c a33 -d AC -r AIF1_MXR_SRC -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF1_VOL_CTRL1 -p AIF1_AD0L_VOL = 0, (default=160)
-c a33 -d AC -r AIF1_VOL_CTRL1 -p AIF1_AD0R_VOL = 0, (default=160)
-c a33 -d AC -r AIF1_VOL_CTRL2 -p AIF1_AD1L_VOL = 0, (default=160)
-c a33 -d AC -r AIF1_VOL_CTRL2 -p AIF1_AD1R_VOL = 0, (default=160)
-c a33 -d AC -r AIF1_VOL_CTRL3 -p AIF1_DA0L_VOL = 0, (default=160)
-c a33 -d AC -r AIF1_VOL_CTRL3 -p AIF1_DA0R_VOL = 0, (default=160)
-c a33 -d AC -r AIF1_VOL_CTRL4 -p AIF1_DA1L_VOL = 0, (default=160)
-c a33 -d AC -r AIF1_VOL_CTRL4 -p AIF1_DA1R_VOL = 0, (default=160)
-c a33 -d AC -r AIF1_MXR_GAIN -p AIF1_AD0L_MXR_GAIN = 0, (default=0)
-c a33 -d AC -r AIF1_MXR_GAIN -p AIF1_AD0R_MXR_GAIN = 0, (default=0)
-c a33 -d AC -r AIF1_MXR_GAIN -p AIF1_AD1L_MXR_GAIN = 0, (default=0)
-c a33 -d AC -r AIF1_MXR_GAIN -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF1_MXR_GAIN -p AIF1_AD1R_MXR_GAIN = 0, (default=0)
-c a33 -d AC -r AIF1_MXR_GAIN -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF1_RXD_CTRL -p Afterdatareceivingprogressbegins = 0, (default=0)
-c a33 -d AC -r AIF1_RXD_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF2_CLK_CTRL -p AIF2_MSTR_MOD = 0, (default=0)
-c a33 -d AC -r AIF2_CLK_CTRL -p AIF2_BCLK_INV = 0, (default=0)
-c a33 -d AC -r AIF2_CLK_CTRL -p AIF2_LRCK_INV = 0, (default=0)
-c a33 -d AC -r AIF2_CLK_CTRL -p AIF2_BCLK_DIV = 0, (default=0)
-c a33 -d AC -r AIF2_CLK_CTRL -p AIF2_LRCK_DIV = 0, (default=0)
-c a33 -d AC -r AIF2_CLK_CTRL -p AIF2_WORD_SIZ = 0, (default=0)
-c a33 -d AC -r AIF2_CLK_CTRL -p AIF2_DATA_FMT = 0, (default=0)
-c a33 -d AC -r AIF2_CLK_CTRL -p AIF2_MONO_PCM = 0, (default=0)
-c a33 -d AC -r AIF2_CLK_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF2_ADCDAT_CTRL -p AIF2_ADCL_EN = 0, (default=0)
-c a33 -d AC -r AIF2_ADCDAT_CTRL -p AIF2_ADCR_EN = 0, (default=0)
-c a33 -d AC -r AIF2_ADCDAT_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF2_ADCDAT_CTRL -p AIF2_ADCL_SRC = 0, (default=0)
-c a33 -d AC -r AIF2_ADCDAT_CTRL -p AIF2_ADCR_SRC = 0, (default=0)
-c a33 -d AC -r AIF2_ADCDAT_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF2_ADCDAT_CTRL -p AIF2_ADCP_ENA = 0, (default=0)
-c a33 -d AC -r AIF2_ADCDAT_CTRL -p AIF2_ADUL_ENA = 0, (default=0)
-c a33 -d AC -r AIF2_ADCDAT_CTRL -p AIF2_LOOP_EN = 0, (default=0)
-c a33 -d AC -r AIF2_DACDAT_CTRL -p AIF2_DACL_ENA = 0, (default=0)
-c a33 -d AC -r AIF2_DACDAT_CTRL -p AIF2_DACR_ENA = 0, (default=0)
-c a33 -d AC -r AIF2_DACDAT_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF2_DACDAT_CTRL -p AIF2_DACL_SRC = 0, (default=0)
-c a33 -d AC -r AIF2_DACDAT_CTRL -p AIF2_DACR_SRC = 0, (default=0)
-c a33 -d AC -r AIF2_DACDAT_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF2_DACDAT_CTRL -p AIF2_DACP_ENA = 0, (default=0)
-c a33 -d AC -r AIF2_DACDAT_CTRL -p AIF2_DAUL_ENA = 0, (default=0)
-c a33 -d AC -r AIF2_DACDAT_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF2_MXR_SRC -p AIF2_ADCL_MXR_SRC = 0, (default=0)
-c a33 -d AC -r AIF2_MXR_SRC -p AIF2_ADCR_MXR_SRC = 0, (default=0)
-c a33 -d AC -r AIF2_MXR_SRC -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF2_VOL_CTRL1 -p AIF2_ADCL_VOL = 0, (default=160)
-c a33 -d AC -r AIF2_VOL_CTRL1 -p AIF2_ADCR_VOL = 0, (default=160)
-c a33 -d AC -r AIF2_VOL_CTRL2 -p AIF2_DACL_VOL = 0, (default=160)
-c a33 -d AC -r AIF2_VOL_CTRL2 -p AIF2_DACR_VOL = 0, (default=160)
-c a33 -d AC -r AIF2_MXR_GAIN -p AIF2_ADCL_MXR_GAIN = 0, (default=0)
-c a33 -d AC -r AIF2_MXR_GAIN -p AIF2_ADCR_MXR_GAIN = 0, (default=0)
-c a33 -d AC -r AIF2_MXR_GAIN -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF2_MXR_GAIN -p Afterdatareceivingprogressbegins = 0, (default=0)
-c a33 -d AC -r AIF2_MXR_GAIN -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF3_CLK_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF3_CLK_CTRL -p AIF3_BCLK_INV = 0, (default=0)
-c a33 -d AC -r AIF3_CLK_CTRL -p AIF3_LRCK_INV = 0, (default=0)
-c a33 -d AC -r AIF3_CLK_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF3_CLK_CTRL -p AIF3_WORD_SIZ = 0, (default=0)
-c a33 -d AC -r AIF3_CLK_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF3_CLK_CTRL -p AIF3_CLOC_SRC = 0, (default=0)
-c a33 -d AC -r AIF3_ADCDAT_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF3_ADCDAT_CTRL -p AIF3_ADCP_ENA = 0, (default=0)
-c a33 -d AC -r AIF3_ADCDAT_CTRL -p AIF3_ADUL_ENA = 0, (default=0)
-c a33 -d AC -r AIF3_ADCDAT_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF3_DACDAT_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF3_DACDAT_CTRL -p AIF3_DACP_ENA = 0, (default=0)
-c a33 -d AC -r AIF3_DACDAT_CTRL -p AIF3_DAUL_ENA = 0, (default=0)
-c a33 -d AC -r AIF3_DACDAT_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF3_DACDAT_CTRL -p AIF3_LOOP_ENA = 0, (default=0)
-c a33 -d AC -r AIF3_SGP_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AIF3_SGP_CTRL -p AIF3_ADC_SRC = 0, (default=0)
-c a33 -d AC -r AIF3_SGP_CTRL -p AIF2_DAC_SRC = 0, (default=0)
-c a33 -d AC -r AIF3_SGP_CTRL -p AIF3_PINS_TRI = 0, (default=0)
-c a33 -d AC -r AIF3_SGP_CTRL -p AIF3_ADCDAT_SRC = 0, (default=0)
-c a33 -d AC -r AIF3_SGP_CTRL -p AIF2_ADCDAT_SRC = 0, (default=0)
-c a33 -d AC -r AIF3_SGP_CTRL -p AIF2_DACDAT_SRC = 0, (default=0)
-c a33 -d AC -r AIF3_SGP_CTRL -p AIF1_ADCDAT_SRC = 0, (default=0)
-c a33 -d AC -r AIF3_SGP_CTRL -p AIF1_DACDAT_SRC = 0, (default=0)
-c a33 -d AC -r AIF3_RXD_CTRL -p Afterdatareceivingprogressbegins = 0, (default=0)
-c a33 -d AC -r AIF3_RXD_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r ADC_DIG_CTRL -p ENAD = 0, (default=0)
-c a33 -d AC -r ADC_DIG_CTRL -p ENDM = 0, (default=0)
-c a33 -d AC -r ADC_DIG_CTRL -p ADFIR32 = 0, (default=0)
-c a33 -d AC -r ADC_DIG_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r ADC_DIG_CTRL -p ADOUT_DTS = 0, (default=0)
-c a33 -d AC -r ADC_DIG_CTRL -p ADOUT_DLY = 0, (default=0)
-c a33 -d AC -r ADC_DIG_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r ADC_VOL_CTRL -p ADC_VOL_L = 0, (default=160)
-c a33 -d AC -r ADC_VOL_CTRL -p ADC_VOL_R = 0, (default=160)
-c a33 -d AC -r DAC_DIG_CTRL -p ENDA = 0, (default=0)
-c a33 -d AC -r DAC_DIG_CTRL -p ENHPF = 0, (default=0)
-c a33 -d AC -r DAC_DIG_CTRL -p DAFIR32 = 0, (default=0)
-c a33 -d AC -r DAC_DIG_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r DAC_DIG_CTRL -p MODQU = 0, (default=0)
-c a33 -d AC -r DAC_DIG_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r DAC_VOL_CTRL -p DAC_VOL_L = 0, (default=160)
-c a33 -d AC -r DAC_VOL_CTRL -p DAC_VOL_R = 0, (default=160)
-c a33 -d AC -r DAC_DBG_CTRL -p DASW = 0, (default=0)
-c a33 -d AC -r DAC_DBG_CTRL -p ENDWA_N = 0, (default=0)
-c a33 -d AC -r DAC_DBG_CTRL -p DAC_MOD_DBG = 0, (default=0)
-c a33 -d AC -r DAC_DBG_CTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r DAC_DBG_CTRL -p DAC_PTN_SEL = 0, (default=0)
-c a33 -d AC -r DAC_DBG_CTRL -p DVC = 0, (default=0)
-c a33 -d AC -r DAC_MXR_SRC -p DACL_MXR_SRC = 0, (default=0)
-c a33 -d AC -r DAC_MXR_SRC -p DACR_MXR_SRC = 0, (default=0)
-c a33 -d AC -r DAC_MXR_SRC -p Reserved = 0, (default=0)
-c a33 -d AC -r DAC_MXR_GAIN -p DACL_MXR_GAIN = 0, (default=0)
-c a33 -d AC -r DAC_MXR_GAIN -p DACR_MXR_GAIN = 0, (default=0)
-c a33 -d AC -r DAC_MXR_GAIN -p Reserved = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPLSTA -p Reserved = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPLSTA -p LeftAGCsaturationflag = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPLSTA -p LeftAGCnoise = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPLSTA -p LeftGainappliedbyAGC = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPRSTA -p Reserved = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPRSTA -p RightAGCsaturationflag = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPRSTA -p RightAGCnoise = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPRSTA -p RightGainappliedbyAGC = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPLCTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPLCTRL -p LeftAGCenable = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPLCTRL -p LeftHPFenable = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPLCTRL -p LeftNoisedetectenable = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPLCTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPLCTRL -p LeftHysteresissetting = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPLCTRL -p LeftNoisedebouncetime = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPLCTRL -p LeftSignaldebouncetime = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPRCTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPRCTRL -p RightAGCenable = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPRCTRL -p RightHPFenable = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPRCTRL -p RightNoisedetectenable = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPRCTRL -p Reserved = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPRCTRL -p RightHysteresissetting = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPRCTRL -p RightNoisedebouncetime = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPRCTRL -p RightSignaldebouncetime = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPLTL -p  = 0, (default=44)
-c a33 -d AC -r AC_ADC_DAPLTL -p  = 0, (default=40)
-c a33 -d AC -r AC_ADC_DAPRTL -p Leftchanneloutputsignalaveragelevelcoefficient = 0, (default=5)
-c a33 -d AC -r AC_ADC_DAPLLAC -p Leftchanneloutputsignalaveragelevelcoefficient = 0, (default=7864)
-c a33 -d AC -r AC_ADC_DAPRHAC -p Rightchanneloutputsignalaveragelevelcoefficient = 0, (default=5)
-c a33 -d AC -r AC_ADC_DAPRLAC -p Rightchanneloutputsignalaveragelevelcoefficient = 0, (default=7864)
-c a33 -d AC -r AC_ADC_DAPLDT -p  = 0, (default=31)
-c a33 -d AC -r AC_ADC_DAPLAT -p Leftattacktimecoefficientsetting = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPRDT -p  = 0, (default=31)
-c a33 -d AC -r AC_ADC_DAPRAT -p Rightattacktimecoefficientsetting = 0, (default=0)
-c a33 -d AC -r AC_ADC_DAPNTH -p  = 0, (default=30)
-c a33 -d AC -r AC_ADC_DAPLHNAC -p Leftinputsignalaveragefiltercoefficienttochecknoise = 0, (default=5)
-c a33 -d AC -r AC_ADC_DAPLLNAC -p Leftinputsignalaveragefiltercoefficienttochecknoise = 0, (default=7864)
-c a33 -d AC -r AC_ADC_DAPRHNAC -p Rightinputsignalaveragefiltercoefficienttochecknoise = 0, (default=5)
-c a33 -d AC -r AC_ADC_DAPRLNAC -p Rightinputsignalaveragefiltercoefficienttochecknoise = 0, (default=7864)
-c a33 -d AC -r AC_DAPHHPFC -p HPFcoefficientsetting = 0, (default=255)
-c a33 -d AC -r AC_DAPLHPFC -p HPFcoefficientsetting = 0, (default=64193)
-c a33 -d AC -r AC_DAPOPT -p Leftenergydefaultvaluesetting = 0, (default=0)
-c a33 -d AC -r AC_DAPOPT -p Leftchannelgainhystersissetting = 0, (default=0)
-c a33 -d AC -r AC_DAPOPT -p Theinputsignalaveragefiltercoefficientsetting = 0, (default=0)
-c a33 -d AC -r AC_DAPOPT -p AGCoutputwhenthechannelinnoisestate = 0, (default=0)
-c a33 -d AC -r AC_DAPOPT -p Rightenergydefaultvaluesetting = 0, (default=0)
-c a33 -d AC -r AC_DAPOPT -p Rightchannelgainhystersissetting = 0, (default=0)
-c a33 -d AC -r AC_DAC_DAPCTRL -p DRCenablecontrol = 0, (default=0)
-c a33 -d AC -r AC_DAC_DAPCTRL -p LeftchannelHPFenablecontrol = 0, (default=0)
-c a33 -d AC -r AC_DAC_DAPCTRL -p RightchannelHPFenablecontrol = 0, (default=0)
-c a33 -d AC -r AC_DAC_DAPHHPFC -p HPFcoefficientsetting = 0, (default=255)
-c a33 -d AC -r AC_DAC_DAPLHPFC -p HPFcoefficientsetting = 0, (default=64193)
-c a33 -d AC -r AC_DAC_DAPLHAVC -p Leftchannelenergyaveragefiltercoefficientsetting = 0, (default=256)
-c a33 -d AC -r AC_DAC_DAPLLAVC -p Leftchannelenergyaveragefiltercoefficientsetting = 0, (default=0)
-c a33 -d AC -r AC_DAC_DAPRHAVC -p Rightchannelenergyaveragefiltercoefficientsetting = 0, (default=256)
-c a33 -d AC -r AC_DAC_DAPRLAVC -p Rightchannelenergyaveragefiltercoefficient = 0, (default=0)
-c a33 -d AC -r AC_DAC_DAPHGDEC -p Gainsmoothfilterdecaytimecoefficientsetting = 0, (default=256)
-c a33 -d AC -r AC_DAC_DAPLGDEC -p Gainsmoothfilterdecaytimecoefficientsetting = 0, (default=0)
-c a33 -d AC -r AC_DAC_DAPHGATC -p Gainsmoothfilterattacktimecoefficientsetting = 0, (default=256)
-c a33 -d AC -r AC_DAC_DAPLGATC -p Gainsmoothfilterattacktimecoefficientsetting = 0, (default=0)
-c a33 -d AC -r AC_DAC_DAPHETHD -p TheDRCEnergycompressthresholdparameterT = 0, (default=1275)
-c a33 -d AC -r AC_DAC_DAPLETHD -p TheDRCEnergycompressthresholdparameterT = 0, (default=40656)
-c a33 -d AC -r AC_DAC_DAPHGKPA -p TheDRCgaincurveslopekparametersetting = 0, (default=1920)
-c a33 -d AC -r AC_DAC_DAPLGKPA -p TheDRCgaincurveslopekparametersetting = 0, (default=0)
-c a33 -d AC -r AC_DAC_DAPHGOPA -p TheDRCgaincurveoffsetOparametersetting = 0, (default=256)
-c a33 -d AC -r AC_DAC_DAPLGOPA -p TheDRCgaincurveoffsetOparametersetting = 0, (default=0)
-c a33 -d AC -r AC_DAC_DAPOPT -p DRCgaindefautvaluesetting = 0, (default=0)
-c a33 -d AC -r AC_DAC_DAPOPT -p Thehysteresisofthegainsmoothfiltertousethe = 0, (default=0)
-c a33 -d AC -r AGC_ENA -p AIF1_AD0L_AGC_ENA = 0, (default=0)
-c a33 -d AC -r AGC_ENA -p AIF1_AD0R_AGC_ENA = 0, (default=0)
-c a33 -d AC -r AGC_ENA -p AIF1_AD1L_AGC_ENA = 0, (default=0)
-c a33 -d AC -r AGC_ENA -p AIF1_AD1R_AGC_ENA = 0, (default=0)
-c a33 -d AC -r AGC_ENA -p AIF2_ADCL_AGC_ENA = 0, (default=0)
